pl_name,planet_status,mass,radius,type,orbital_period,semi_major_axis,star_name,star_distance,star_teff,star_radius,temp_calculated,mag_v,mag_j,mag_k,scale_factor,tsm,esm,alternate_names,updated,observation_type,reference,molecules,albedo,phase_curve,comments,molecules_cleaned,molecule_list
2M 0103-55 (AB) b,Confirmed,13.0,9.76046772,Jupiter,,84.0,2M 0103-55 (AB),47.2,,,,,7.5,,1.15,,,Delorme 1 (AB),08-12-2022,G-B: High resolution visible,2212.03207,"{H"":""Detection""}""",No,No,"UVES/VLT. H emission lines and tentative He I, Ca II H/K emission lines",[],H
2M0437 b,Confirmed,4.0,4.879358972,Hot Jupiter,,118.0,2M0437,128.1,3100.0,0.84,1450.0,15.7,11.298,10.386,1.15,1668.9209,4695.6494,,10/19/21,G-B: High resolution IR,2308.13745,"{CO"":""Detection"",""CH4"":""Detection"",""H2O"":""Detection""}""",No,No,,[],"CH4, H2O, CO"
51 Eri b,Confirmed,4.1,1.11,Warm Jupiter,10260.0,11.1,51 Eri,29.4,,,700.0,5.223,4.744,4.537,1.15,,,,01-04-2024,G-B: High resolution IR,2211.1433,"{Molecular ratios: C/O, etc..."":""Detection""}""",No,No,VLT/SPHERE direct observations,[],C/O
51 Eri b,Confirmed,4.1,1.11,Warm Jupiter,10260.0,11.1,51 Eri,29.4,,,700.0,5.223,4.744,4.537,1.15,,,,01-04-2024,JWST-NIRCam,2503.13608,"{CO2"":""Detection""}""",No,No,,[],CO2
51 Peg b,Confirmed,0.47,1.9,Hot Jupiter,4.2308,0.052,51 Peg,15.4614,5758.0,1.176,1320.404831,5.49,4.66,3.91,1.15,8284.2543,2805.6449,,09-01-2024,G-B: High resolution visible,2015A&A...576A.134M,[],0.5,No,Albedo value not well constrained,[],
51 Peg b,Confirmed,0.47,1.9,Hot Jupiter,4.2308,0.052,51 Peg,15.4614,5758.0,1.176,1320.404831,5.49,4.66,3.91,1.15,8284.2543,2805.6449,,09-01-2024,G-B: High resolution IR,1302.6242,"{CO"":""Detection"",""H2O"":""Detection""}""",No,No,Dayside observations with CRIRES,[],"H2O, CO"
51 Peg b,Confirmed,0.47,1.9,Hot Jupiter,4.2308,0.052,51 Peg,15.4614,5758.0,1.176,1320.404831,5.49,4.66,3.91,1.15,8284.2543,2805.6449,,09-01-2024,G-B: High resolution IR,2017AJ....153..138B,"{H2O"":""Detection""}""",0,No,,[],H2O
51 Peg b,Confirmed,0.47,1.9,Hot Jupiter,4.2308,0.052,51 Peg,15.4614,5758.0,1.176,1320.404831,5.49,4.66,3.91,1.15,8284.2543,2805.6449,,09-01-2024,G-B: High resolution IR,2019A&A...631A.100C,"{CO"":""Detection"",""H2O"":""Detection""}""",0,No,Confirmation of previous tentative detection by Brogi et al. (2013),[],"H2O, CO"
51 Peg b,Confirmed,0.47,1.9,Hot Jupiter,4.2308,0.052,51 Peg,15.4614,5758.0,1.176,1320.404831,5.49,4.66,3.91,1.15,8284.2543,2805.6449,,09-01-2024,Spitzer,2007MNRAS.379..641C,[],0,Yes,Multi-epoch phase measurements yield an upper limit on 8 micron phase variations.,[],
55 Cnc b,Confirmed,0.84,1.94835566,Warm Jupiter,14.65314,0.11339,55 Cnc,12.34,5196.0,0.98,736.5941368,5.95,4.768,4.015,1.15,3820.3183,1298.2397,,06-11-2017,HST STIS,1210.0531,"{H"":""Detection""}""",0,No,,[],H
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,JWST-MIRI,2405.04744,"{Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,"Detection of a secondary atmosphere, undetermined composition",[],"C, O"
