file,n,pos,neg
kplr011512246-2010355172524_llc_X.npy,81,12,69
kplr004914423-2009259160929_llc_X.npy,78,40,38
kplr002571238-2009322144938_slc_X.npy,876,10,866
kplr007534267-2010174085026_llc_X.npy,86,18,68
kplr005480640-2009166043257_llc_X.npy,29,10,19
kplr011337372-2010174085026_llc_X.npy,86,16,70
kplr009818462-2010355172524_llc_X.npy,81,10,71
kplr004914423-2010234115140_slc_X.npy,902,158,744
kplr007109675-2010355172524_slc_X.npy,812,19,793
kplr003541946-2012004120508_llc_X.npy,86,10,76
kplr005124667-2011073133259_llc_X.npy,59,10,49
kplr011572193-2009166043257_llc_X.npy,29,10,19
kplr010290666-2012088054726_llc_X.npy,67,23,44
kplr010904857-2010355172524_llc_X.npy,81,76,5
kplr009020160-2010078095331_llc_X.npy,79,10,69
kplr006605493-2013011073258_llc_X.npy,84,10,74
kplr008414716-2010174085026_llc_X.npy,86,14,72
kplr005966322-2010078095331_llc_X.npy,79,10,69
kplr009886361-2009166043257_llc_X.npy,29,11,18
kplr007582689-2013011073258_slc_X.npy,1018,192,826
