kepid,kepoi_name,fpp_prob,fpp_score,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,pp_host_rel_prob,pp_host_prob_score,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,fpp_fp_components_sum,radio_silence_risk,Radio_Silent,risk_threshold_0p75
6879865,K00417.01,0.86,1.0,0.067,0.79,0.002,0.00023,0.0017,5.3e-06,0.126,5851.0,1.0,1.0,1.0,0.0,1.761e-06,0.8609353,0.6148853344643732,0,0.6606315896878756
7975727,K00418.01,0.014,1.0,0.00046,0.0089,0.0048,3.9e-05,0.00016,3.1e-12,0.112,5655.0,1.0,1.0,1.0,0.0,9.909e-07,0.0143590000031,0.33639844680829323,0,0.6606315896878756
8219673,K00419.01,0.99,1.0,0.063,0.93,0.0011,0.00016,0.0019,2.9e-05,0.392,5747.0,1.0,1.0,1.0,0.0,6.304e-07,0.9961890000000001,0.6593779359665736,0,0.6606315896878756
8352537,K00420.01,5.7e-08,1.0,3.6e-09,1.4e-19,5.3e-08,8.8e-11,2e-16,1.0999999999999999e-14,0.047,4829.0,1.0,1.0,1.0,0.0,5.836e-07,5.6688011200139993e-08,0.33167497729115814,0,0.6606315896878756
9115800,K00421.01,0.00038,1.0,0.00022,0.00015,5.1e-08,1.4e-07,4.9e-13,7e-17,0.118,5443.0,1.0,1.0,1.0,0.0,1.301e-06,0.00037019100049007,0.3317999620604661,0,0.6606315896878756
9214713,K00422.01,0.38,1.0,0.031,0.34,0.0016,7.1e-06,7.7e-07,1.1e-06,0.126,6235.0,1.0,0.5,1.0,0.0,1.417e-05,0.37260896999999993,0.45667847837658343,0,0.6606315896878756
9478990,K00423.01,0.00039,1.0,0.00024,0.00016,2.3e-09,8.5e-11,1.1e-06,3.4999999999999996e-43,0.087,6334.0,1.0,1.0,1.0,8.7e-102,1.13e-06,0.00040110238500000006,0.3318069038299449,0,0.6606315896878756
9597411,K00424.01,0.79,1.0,0.14,0.13,6.8e-05,0.021,0.51,0.00017,0.306,5913.0,1.0,1.0,1.0,0.0,7.247e-07,0.8012380000000001,0.5952475117677869,0,0.6606315896878756
9967884,K00425.01,0.84,1.0,0.096,0.74,0.00063,0.00023,0.0012,1.8e-06,0.141,5942.0,1.0,1.0,1.0,5e-07,1.231e-06,0.8380618,0.6079986945417956,0,0.6606315896878756
10016874,K00426.01,6.2e-05,1.0,4.3e-10,4.9e-05,1.3e-05,1.2e-13,1.5e-14,4e-10,0.031,5616.0,0.14,1.0,0.14,0.0,0.8631,6.200083013500001e-05,0.33312155644656444,0,0.6606315896878756
