kepid,pl_name,ProbeScore,Score_Detection,Score_Habitability,Score_Type,Score_Radio,pl_rade,pl_bmasse,pl_eqt,pl_dens,rank
7132798.0,Kepler-119 c,0.8599836589161586,0.9999533111890244,0.6,1.0,1.0,0.92,0.721,1016.0,,1
10027247.0,Kepler-1229 b,0.825,0.5,1.0,1.0,1.0,1.4,2.54,212.0,,2
4138008.0,Kepler-442 b,0.825,0.5,1.0,1.0,1.0,1.34,2.36,241.0,,3
9205938.0,Kepler-1126 c,0.825,0.5,1.0,1.0,1.0,1.45,2.7,305.0,,4
9730163.0,Kepler-445 d,0.825,0.5,1.0,1.0,1.0,1.25,2.1,305.0,,5
11497958.0,Kepler-296 e,0.7949999999999999,0.5,1.0,0.8,1.0,1.53,2.96,337.0,,6
6497146.0,Kepler-438 b,0.7499999999999999,0.5,1.0,1.0,0.5,1.12,1.46,288.0,,7
,GJ 1002 b,0.7499999999999999,0.5,1.0,1.0,0.5,1.03,1.08,230.9,,8
9753154.0,Kepler-1244 b,0.6851057832502638,0.5003022378578965,0.6,1.0,1.0,1.35,2.39,1839.0,,9
8355239.0,Kepler-189 b,0.685,0.5,0.6,1.0,1.0,1.21,1.92,678.0,,10
8351704.0,Kepler-779 b,0.685,0.5,0.6,1.0,1.0,0.92,0.721,425.0,,11
8222813.0,Kepler-760 c,0.685,0.5,0.6,1.0,1.0,1.48,2.79,1139.0,,12
8226994.0,Kepler-250 b,0.685,0.5,0.6,1.0,1.0,1.13,1.51,938.0,,13
8229458.0,Kepler-1152 b,0.685,0.5,0.6,1.0,1.0,0.87,0.59,806.0,,14
5211199.0,Kepler-1800 b,0.685,0.5,0.6,1.0,1.0,0.99679734,0.961,1533.0,,15
8230616.0,Kepler-316 b,0.685,0.5,0.6,1.0,1.0,1.06,1.2,837.0,,16
8480285.0,Kepler-647 b,0.685,0.5,0.6,1.0,1.0,1.17,1.71,788.0,,17
8247638.0,Kepler-251 b,0.685,0.5,0.6,1.0,1.0,1.33,2.33,990.0,,18
5195172.0,Kepler-1763 b,0.685,0.5,0.6,1.0,1.0,1.14651332,1.59,1822.0,,19
8424002.0,Kepler-1512 b,0.685,0.5,0.6,1.0,1.0,1.18,1.76,322.0,,20
5185897.0,Kepler-398 b,0.685,0.5,0.6,1.0,1.0,0.93,0.749,755.0,,21
8247771.0,Kepler-1200 b,0.685,0.5,0.6,1.0,1.0,1.06,1.2,1174.0,,22
8257205.0,Kepler-1038 c,0.685,0.5,0.6,1.0,1.0,1.4162338,2.59,784.0,,23
8277797.0,Kepler-322 b,0.685,0.5,0.6,1.0,1.0,1.01,1.01,1373.0,,24
8212002.0,Kepler-1285 b,0.685,0.5,0.6,1.0,1.0,0.97,0.871,874.0,,25
5177859.0,Kepler-1576 b,0.685,0.5,0.6,1.0,1.0,1.04,1.12,1059.0,,26
8278371.0,Kepler-780 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,2099.0,,27
8416523.0,Kepler-1604 b,0.685,0.5,0.6,1.0,1.0,1.41,2.57,2023.0,,28
8280511.0,Kepler-271 b,0.685,0.5,0.6,1.0,1.0,1.23,2.04,759.0,,29
8346392.0,Kepler-777 b,0.685,0.5,0.6,1.0,1.0,1.47,2.76,569.0,,30
8415200.0,Kepler-1328 b,0.685,0.5,0.6,1.0,1.0,0.98,0.904,1214.0,,31
5252423.0,Kepler-237 b,0.685,0.5,0.6,1.0,1.0,1.41,2.57,823.0,,32
8193178.0,Kepler-187 b,0.685,0.5,0.6,1.0,1.0,1.41,2.57,1244.0,,33
5272233.0,Kepler-400 c,0.685,0.5,0.6,1.0,1.0,1.49,2.83,755.0,,34
5106313.0,Kepler-1694 b,0.685,0.5,0.6,1.0,1.0,1.17986031,1.76,956.0,,35
7918992.0,Kepler-1091 b,0.685,0.5,0.6,1.0,1.0,1.46,2.73,1664.0,,36
5436013.0,Kepler-1841 b,0.685,0.5,0.6,1.0,1.0,1.48912557,2.82,542.0,,37
5384079.0,Kepler-348 c,0.685,0.5,0.6,1.0,1.0,1.33,2.33,888.0,,38
7977197.0,Kepler-162 b,0.685,0.5,0.6,1.0,1.0,1.26,2.13,961.0,,39
7987866.0,Kepler-1832 b,0.685,0.5,0.6,1.0,1.0,1.22719556,2.02,1022.0,,40
8008206.0,Kepler-185 b,0.685,0.5,0.6,1.0,1.0,1.17,1.71,1237.0,,41
8013439.0,Kepler-381 b,0.685,0.5,0.6,1.0,1.0,0.99,0.937,1576.0,,42
5371777.0,Kepler-1589 b,0.685,0.5,0.6,1.0,1.0,1.09,1.32,2102.0,,43
5371776.0,Kepler-304 e,0.685,0.5,0.6,1.0,1.0,1.2,1.87,1137.0,,44
8016691.0,Kepler-1456 b,0.685,0.5,0.6,1.0,1.0,1.14,1.55,433.0,,45
8017703.0,Kepler-174 c,0.685,0.5,0.6,1.0,1.0,1.49,2.83,377.0,,46
8022489.0,Kepler-1311 b,0.685,0.5,0.6,1.0,1.0,1.24,2.07,1019.0,,47
8025596.0,Kepler-1290 b,0.685,0.5,0.6,1.0,1.0,1.42,2.6,1098.0,,48
8037038.0,Kepler-1631 b,0.685,0.5,0.6,1.0,1.0,1.35,2.39,1122.0,,49
8051946.0,Kepler-1416 b,0.685,0.5,0.6,1.0,1.0,0.88,0.615,1870.0,,50
5351250.0,Kepler-150 b,0.685,0.5,0.6,1.0,1.0,1.25,2.1,1131.0,,51
5350244.0,Kepler-1276 b,0.685,0.5,0.6,1.0,1.0,1.19,1.81,886.0,,52
8073705.0,Kepler-1445 b,0.685,0.5,0.6,1.0,1.0,0.96,0.84,987.0,,53
8077137.0,Kepler-128 b,0.685,0.5,0.6,1.0,1.0,1.421,3.79,968.0,,54
8087812.0,Kepler-1952 b,0.685,0.5,0.6,1.0,1.0,1.23923346,2.07,725.0,,55
5339567.0,Kepler-1240 b,0.685,0.5,0.6,1.0,1.0,1.15,1.6,1121.0,,56
5308537.0,Kepler-1955 b,0.685,0.5,0.6,1.0,1.0,1.16654878,1.69,853.0,,57
5301750.0,Kepler-84 d,0.685,0.5,0.6,1.0,1.0,1.38,2.48,1254.0,,58
8095441.0,Kepler-1332 b,0.685,0.5,0.6,1.0,1.0,1.37,2.45,728.0,,59
8120608.0,Kepler-186 b,0.685,0.5,0.6,1.0,1.0,1.07,1.24,571.0,,60
5281113.0,Kepler-1602 b,0.685,0.5,0.6,1.0,1.0,1.34,2.36,1159.0,,61
8168187.0,Kepler-1142 b,0.685,0.5,0.6,1.0,1.0,1.47,2.76,902.0,,62
8481129.0,Kepler-1223 b,0.685,0.5,0.6,1.0,1.0,1.22,1.98,557.0,,63
8558011.0,Kepler-607 b,0.685,0.5,0.6,1.0,1.0,0.87,0.59,1874.0,,64
5096590.0,Kepler-1424 b,0.685,0.5,0.6,1.0,1.0,1.16,1.65,629.0,,65
8883329.0,Kepler-393 b,0.685,0.5,0.6,1.0,1.0,1.29,2.21,1052.0,,66
8892157.0,Kepler-1149 b,0.685,0.5,0.6,1.0,1.0,1.44,2.67,1128.0,,67
4814502.0,Kepler-1933 b,0.685,0.5,0.6,1.0,1.0,1.17984089,1.76,1058.0,,68
8895758.0,Kepler-1427 b,0.685,0.5,0.6,1.0,1.0,1.1,1.37,1844.0,,69
8947520.0,Kepler-1264 b,0.685,0.5,0.6,1.0,1.0,1.18,1.76,1677.0,,70
4770365.0,Kepler-1669 d,0.685,0.5,0.6,1.0,1.0,1.22,1.98,669.0,,71
4757437.0,Kepler-168 b,0.685,0.5,0.6,1.0,1.0,1.46,2.73,1240.0,,72
4741126.0,Kepler-887 c,0.685,0.5,0.6,1.0,1.0,1.13,1.51,1089.0,,73
4736644.0,Kepler-1470 b,0.685,0.5,0.6,1.0,1.0,1.07,1.24,574.0,,74
8972058.0,Kepler-115 b,0.685,0.5,0.6,1.0,1.0,1.09,1.32,1489.0,,75
8978528.0,Kepler-329 b,0.685,0.5,0.6,1.0,1.0,1.4,2.54,547.0,,76
9002278.0,Kepler-62 c,0.685,0.5,0.6,1.0,1.0,0.54,4.0,578.0,,77
9006449.0,Kepler-295 b,0.685,0.5,0.6,1.0,1.0,1.22,1.98,741.0,,78
9008737.0,Kepler-404 b,0.685,0.5,0.6,1.0,1.0,1.27,2.15,730.0,,79
9009036.0,Kepler-1616 b,0.685,0.5,0.6,1.0,1.0,1.02,1.04,1337.0,,80
9015738.0,Kepler-909 b,0.685,0.5,0.6,1.0,1.0,1.47,2.76,852.0,,81
9020114.0,Kepler-1901 b,0.685,0.5,0.6,1.0,1.0,1.47418907,2.77,1132.0,,82
9020160.0,Kepler-191 b,0.685,0.5,0.6,1.0,1.0,1.34,2.36,722.0,,83
9044228.0,Kepler-1039 b,0.685,0.5,0.6,1.0,1.0,1.46,2.73,2080.0,,84
9070666.0,Kepler-1408 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,1616.0,,85
6118370.0,Kepler-1506 b,0.685,0.5,0.6,1.0,1.0,1.32,2.3,783.0,,86
9117416.0,Kepler-1921 c,0.685,0.5,0.6,1.0,1.0,1.41,2.57,1791.0,,87
9146018.0,Kepler-192 d,0.685,0.5,0.6,1.0,1.0,1.02,1.04,926.0,,88
4563268.0,Kepler-625 c,0.685,0.5,0.6,1.0,1.0,1.05,1.16,1048.0,,89
9177629.0,Kepler-1848 b,0.685,0.5,0.6,1.0,1.0,1.4088539,2.57,774.0,,90
9209624.0,Kepler-387 b,0.685,0.5,0.6,1.0,1.0,1.03,1.08,994.0,,91
4827723.0,Kepler-629 b,0.685,0.5,0.6,1.0,1.0,1.38,2.48,816.0,,92
8801316.0,Kepler-1394 b,0.685,0.5,0.6,1.0,1.0,1.39,2.51,1947.0,,93
8505670.0,Kepler-252 b,0.685,0.5,0.6,1.0,1.0,1.23,2.04,587.0,,94
8766650.0,Kepler-1008 b,0.685,0.5,0.6,1.0,1.0,1.28,2.18,627.0,,95
8544992.0,Kepler-388 c,0.685,0.5,0.6,1.0,1.0,0.86,0.566,515.0,,96
7871954.0,Kepler-303 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,802.0,,97
5088536.0,Kepler-130 b,0.685,0.5,0.6,1.0,1.0,1.02,1.04,982.0,,98
8573193.0,Kepler-1591 b,0.685,0.5,0.6,1.0,1.0,1.27,2.15,892.0,,99
8609450.0,Kepler-282 b,0.685,0.5,0.6,1.0,1.0,1.01,1.01,817.0,,100
8611832.0,Kepler-384 b,0.685,0.5,0.6,1.0,1.0,1.12,1.46,670.0,,101
8616637.0,Kepler-190 c,0.685,0.5,0.6,1.0,1.0,1.46,2.73,948.0,,102
8628758.0,Kepler-804 c,0.685,0.5,0.6,1.0,1.0,1.14,1.55,890.0,,103
8636600.0,Kepler-1959 b,0.685,0.5,0.6,1.0,1.0,1.14315727,1.57,811.0,,104
