kepid,pl_name,Score_Detection,Score_Habitability,Score_Type,Score_Radio,Priority__default,Priority__comms_heavy
7132798.0,Kepler-119 c,0.9999533111890244,0.6,1.0,1.0,0.8599836589161586,0.8799859933567074
10027247.0,Kepler-1229 b,0.5,1.0,1.0,1.0,0.8249999999999998,0.85
4138008.0,Kepler-442 b,0.5,1.0,1.0,1.0,0.8249999999999998,0.85
9205938.0,Kepler-1126 c,0.5,1.0,1.0,1.0,0.8249999999999998,0.85
9730163.0,Kepler-445 d,0.5,1.0,1.0,1.0,0.8249999999999998,0.85
11497958.0,Kepler-296 e,0.5,1.0,0.8,1.0,0.7849999999999999,0.82
6497146.0,Kepler-438 b,0.5,1.0,1.0,0.5,0.7749999999999999,0.725
,GJ 1002 b,0.5,1.0,1.0,0.5,0.7749999999999999,0.725
9753154.0,Kepler-1244 b,0.5003022378578965,0.6,1.0,1.0,0.6851057832502637,0.7300906713573689
8355239.0,Kepler-189 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8351704.0,Kepler-779 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8222813.0,Kepler-760 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8226994.0,Kepler-250 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8229458.0,Kepler-1152 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5211199.0,Kepler-1800 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8230616.0,Kepler-316 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8480285.0,Kepler-647 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8247638.0,Kepler-251 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5195172.0,Kepler-1763 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8424002.0,Kepler-1512 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5185897.0,Kepler-398 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8247771.0,Kepler-1200 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8257205.0,Kepler-1038 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8277797.0,Kepler-322 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8212002.0,Kepler-1285 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5177859.0,Kepler-1576 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8278371.0,Kepler-780 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8416523.0,Kepler-1604 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8280511.0,Kepler-271 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8346392.0,Kepler-777 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8415200.0,Kepler-1328 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5252423.0,Kepler-237 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8193178.0,Kepler-187 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5272233.0,Kepler-400 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5106313.0,Kepler-1694 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7918992.0,Kepler-1091 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5436013.0,Kepler-1841 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5384079.0,Kepler-348 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7977197.0,Kepler-162 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7987866.0,Kepler-1832 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8008206.0,Kepler-185 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8013439.0,Kepler-381 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5371777.0,Kepler-1589 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5371776.0,Kepler-304 e,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8016691.0,Kepler-1456 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8017703.0,Kepler-174 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8022489.0,Kepler-1311 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8025596.0,Kepler-1290 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8037038.0,Kepler-1631 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8051946.0,Kepler-1416 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5351250.0,Kepler-150 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5350244.0,Kepler-1276 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8073705.0,Kepler-1445 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8077137.0,Kepler-128 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8087812.0,Kepler-1952 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5339567.0,Kepler-1240 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5308537.0,Kepler-1955 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5301750.0,Kepler-84 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8095441.0,Kepler-1332 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8120608.0,Kepler-186 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5281113.0,Kepler-1602 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8168187.0,Kepler-1142 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8481129.0,Kepler-1223 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8558011.0,Kepler-607 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5096590.0,Kepler-1424 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8883329.0,Kepler-393 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8892157.0,Kepler-1149 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4814502.0,Kepler-1933 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8895758.0,Kepler-1427 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8947520.0,Kepler-1264 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4770365.0,Kepler-1669 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4757437.0,Kepler-168 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4741126.0,Kepler-887 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4736644.0,Kepler-1470 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8972058.0,Kepler-115 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8978528.0,Kepler-329 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9002278.0,Kepler-62 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9006449.0,Kepler-295 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9008737.0,Kepler-404 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9009036.0,Kepler-1616 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9015738.0,Kepler-909 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9020114.0,Kepler-1901 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9020160.0,Kepler-191 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9044228.0,Kepler-1039 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9070666.0,Kepler-1408 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6118370.0,Kepler-1506 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9117416.0,Kepler-1921 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9146018.0,Kepler-192 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4563268.0,Kepler-625 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9177629.0,Kepler-1848 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9209624.0,Kepler-387 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4827723.0,Kepler-629 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8801316.0,Kepler-1394 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8505670.0,Kepler-252 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8766650.0,Kepler-1008 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8544992.0,Kepler-388 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7871954.0,Kepler-303 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5088536.0,Kepler-130 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8573193.0,Kepler-1591 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8609450.0,Kepler-282 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
