task,model_or_stage,metric,value,notes
Task1,V1_Plain,accuracy,0.965,Results table (baseline). :contentReference[oaicite:4]{index=4}
Task1,V1_Plain,precision,0.928,Results table. :contentReference[oaicite:5]{index=5}
Task1,V1_Plain,recall,0.853,Results table. :contentReference[oaicite:6]{index=6}
Task1,V1_Plain,F1,0.889,Results table. :contentReference[oaicite:7]{index=7}
Task1,V1_Plain,ROC_AUC,0.981,Results table. :contentReference[oaicite:8]{index=8}
Task1,V1_Plain,PR_AUC,0.951,Results table. :contentReference[oaicite:9]{index=9}
Task1,V1_Plain,Brier,0.043,Results table. :contentReference[oaicite:10]{index=10}
Task1,V2_Residual,accuracy,0.955,Results table. :contentReference[oaicite:11]{index=11}
Task1,V2_Residual,precision,0.902,Results table. :contentReference[oaicite:12]{index=12}
Task1,V2_Residual,recall,0.789,Results table. :contentReference[oaicite:13]{index=13}
Task1,V2_Residual,F1,0.841,Results table. :contentReference[oaicite:14]{index=14}
Task1,V2_Residual,ROC_AUC,0.974,Results table. :contentReference[oaicite:15]{index=15}
Task1,V2_Residual,PR_AUC,0.935,Results table. :contentReference[oaicite:16]{index=16}
Task1,V2_Residual,Brier,0.051,Results table. :contentReference[oaicite:17]{index=17}
Task1,V3_SE,accuracy,0.970,Results table/best model. :contentReference[oaicite:18]{index=18}
Task1,V3_SE,precision,0.942,Results table. :contentReference[oaicite:19]{index=19}
Task1,V3_SE,recall,0.870,Results table. :contentReference[oaicite:20]{index=20}
Task1,V3_SE,F1,0.905,Results table (abstract lists ~0.891). :contentReference[oaicite:21]{index=21}
Task1,V3_SE,ROC_AUC,0.987,Results table. :contentReference[oaicite:22]{index=22}
Task1,V3_SE,PR_AUC,0.962,Results table (abstract ~0.957). :contentReference[oaicite:23]{index=23}
Task1,V3_SE,Brier,0.039,Results table. :contentReference[oaicite:24]{index=24}
Task1,V4_CBAM,accuracy,0.966,Results table. :contentReference[oaicite:25]{index=25}
Task1,V4_CBAM,precision,0.935,Results table. :contentReference[oaicite:26]{index=26}
Task1,V4_CBAM,recall,0.851,Results table. :contentReference[oaicite:27]{index=27}
Task1,V4_CBAM,F1,0.891,Results table. :contentReference[oaicite:28]{index=28}
Task1,V4_CBAM,ROC_AUC,0.986,Results table. :contentReference[oaicite:29]{index=29}
Task1,V4_CBAM,PR_AUC,0.957,Results table. :contentReference[oaicite:30]{index=30}
Task1,V4_CBAM,Brier,0.046,Results table. :contentReference[oaicite:31]{index=31}
Task2,LogReg_baseline,accuracy,0.553,Reported baseline. :contentReference[oaicite:32]{index=32}
Task2,LogReg_baseline,macro_f1,0.549,Reported baseline. :contentReference[oaicite:33]{index=33}
Task2,RF_tuned,accuracy,1.000,≈1.0; perfect CM noted (see leakage caveat). :contentReference[oaicite:34]{index=34}
Task2,RF_tuned,macro_f1,1.000,≈1.0; perfect CM noted. :contentReference[oaicite:35]{index=35}
Task2,Molecules,micro_f1,0.713,Multi-label RF (overall). :contentReference[oaicite:36]{index=36}
Task2,Molecules,macro_f1,0.430,Multi-label RF (overall). :contentReference[oaicite:37]{index=37}
Task2,Molecules,AP_TiO,0.97,Per-class AP. :contentReference[oaicite:38]{index=38}
Task2,Molecules,AP_H,0.84,Per-class AP. :contentReference[oaicite:39]{index=39}
Task2,Molecules,AP_H2O,0.70,Per-class AP. :contentReference[oaicite:40]{index=40}
Task3,LogReg,weighted_f1,0.934,Baseline. :contentReference[oaicite:41]{index=41}
Task3,RF_best,macro_f1,1.000,≈1.0 with near-perfect CM. :contentReference[oaicite:42]{index=42}
Task3,LGBM_best,macro_f1,1.000,≈1.0; perfect CM. :contentReference[oaicite:43]{index=43}
Task4,LogReg,ROC_AUC,0.985,Results section. :contentReference[oaicite:44]{index=44}
Task4,LogReg,PR_AUC,0.956,Results section. :contentReference[oaicite:45]{index=45}
Task4,LogReg,F1,0.845,Results section. :contentReference[oaicite:46]{index=46}
Task4,LogReg,threshold,0.661,Chosen operating point. :contentReference[oaicite:47]{index=47}
Task4,LogReg,TP,283,Confusion details. :contentReference[oaicite:48]{index=48}
Task4,LogReg,FN,76,Confusion details. :contentReference[oaicite:49]{index=49}
Task4,LogReg,TN,929,Confusion details. :contentReference[oaicite:50]{index=50}
Task4,LogReg,FP,28,Confusion details. :contentReference[oaicite:51]{index=51}
Task5,Decision,top50_jaccard,0.786,±10% weight sensitivity. :contentReference[oaicite:52]{index=52}
Task5,Decision,weights,"0.35/0.15/0.35/0.15",det/char/hab/rad default. :contentReference[oaicite:53]{index=53}
